date,weekno,employee_id,name,status
01-Apr-22,W 14,Atq -458@,JESSIE CARRILLO,Work From Office
01-Apr-22,W 14,Atq -400,chad macias,Work From Office
01-Apr-22,W 14,Atq -437,dallas weeks,Work From Office
01-Apr-22,W 14,Atq -369,GRETA HORTON,Work From Office
01-Apr-22,W 14,Atq -374,KALEY FITZPATRICK,Work From Office
01-Apr-22,W 14,Atq -470,JOVANI POPE,Work From Office
01-Apr-22,W 14,Atq -455,caylee meadows,Work From Office
01-Apr-22,W 14,Atq -385,FINNEGAN GILBERT,Work From Office
01-Apr-22,W 14,Atq -387,KONNER HENSON,Work From Office
01-Apr-22,W 14,Atq -443,andrew cummings,Work From Office
01-Apr-22,W 14,Atq -453@,NEHEMIAH DIAZ,Work From Office
01-Apr-22,W 14,Atq -376,DOMINIQUE BENJAMIN,Work From Office
01-Apr-22,W 14,Atq -418,hillary kirk,Work From Office
01-Apr-22,W 14,Atq -373,isiah small,Work From Office
01-Apr-22,W 14,Atq -418,marquis wyatt,Work From Office
01-Apr-22,W 14,Atq -414,TITUS ANDERSEN,Work From Office
01-Apr-22,W 14,Atq -403,WILL MAHONEY,Work From Office
01-Apr-22,W 14,Atq -393,emma freeman,Work From Office
01-Apr-22,W 14,Atq -367,BRILEY ORR,Work From Office
01-Apr-22,W 14,Atq -421,rylee mullins,Work From Office
01-Apr-22,W 14,Atq -432,RYANN GUERRERO,Work From Office
01-Apr-22,W 14,Atq -484,DEMARCUS GORDON,Work From Office
01-Apr-22,W 14,Atq -428,CIARA ALLISON,Work From Office
01-Apr-22,W 14,Atq -467,ESPERANZA IRWIN,Work From Office
01-Apr-22,W 14,Atq -396,KARMA REEVES,Work From Office
01-Apr-22,W 14,Atq -472,cristofer bernard,Work From Office
01-Apr-22,W 14,Atq -412,TUCKER AUSTIN,Work From Office
01-Apr-22,W 14,Atq -398,salvatore hendrix,Work From Office
01-Apr-22,W 14,Atq -484,adyson moyer,Work From Office
01-Apr-22,W 14,Atq -385,JASE INGRAM,Work From Office
01-Apr-22,W 14,Atq -456,adriel pace,Work From Office
01-Apr-22,W 14,Atq -375,kenley marsh,Work From Office
01-Apr-22,W 14,Atq -475,LONDON KIM,Work From Office
01-Apr-22,W 14,Atq -435,dean mclaughlin,Work From Office
01-Apr-22,W 14,Atq -348,weston horton,Work From Office
01-Apr-22,W 14,Atq -468,xiomara ruiz,Work From Office
01-Apr-22,W 14,Atq -368,macie callahan,Work From Office
01-Apr-22,W 14,Atq -475,rey novak,Work From Office
01-Apr-22,W 14,Atq -375,hailee fitzpatrick,Work From Office
01-Apr-22,W 14,Atq -433,JAYCE FUENTES,Work From Office
01-Apr-22,W 14,Atq -370,ella roth,Work From Office
01-Apr-22,W 14,Atq -423@,RODRIGO PRICE,Work From Office
01-Apr-22,W 14,Atq -438,MILES FIELDS,Work From Office
01-Apr-22,W 14,Atq -349,TRYSTAN ORTEGA,Work From Office
01-Apr-22,W 14,Atq -459,iris woodard,Work From Office
01-Apr-22,W 14,Atq -419,faith hamilton,Work From Office
01-Apr-22,W 14,Atq -446,APRIL AYERS,Work From Office
01-Apr-22,W 14,Atq -334,boston morse,Work From Office
01-Apr-22,W 14,Atq -343,myla klein,Work From Office
01-Apr-22,W 14,Atq -335,madelynn gray,Work From Office
01-Apr-22,W 14,Atq -440,mckayla parker,Work From Office
01-Apr-22,W 14,Atq -405,sofia solis,Work From Office
01-Apr-22,W 14,Atq -450,MIYA HAMPTON,Work From Office
01-Apr-22,W 14,Atq -467,CASON DAVID,Work From Office
01-Apr-22,W 14,Atq -419,KAYLAH SCHULTZ,Work From Office
01-Apr-22,W 14,Atq -335,tori shannon,Work From Office
01-Apr-22,W 14,Atq -397,grace stone,Work From Office
01-Apr-22,W 14,Atq -404,ANA LITTLE,Work From Office
01-Apr-22,W 14,Atq -436,phoenix brady,Work From Office
01-Apr-22,W 14,Atq -441,LOKI LAL,Work From Office
01-Apr-22,W 14,Atq -366,peter pandey,Work From Office
01-Apr-22,W 14,Atq -438,mekhi singleton,Work From Office
01-Apr-22,W 14,Atq -398,bo cordova,Work From Office
01-Apr-22,W 14,Atq -411,nevaeh waller,Work From Office
01-Apr-22,W 14,Atq -462,jarvis singh,Work From Office
01-Apr-22,W 14,Atq -406,thanos thakur,Work From Office
